title;url;description;related_games;genres;platforms;ign_score;ign_score_phrase;community_score;community_score_phrase;publisher;developers;rating_category;rating_content;release_date;price;review_link
F-16 Aggressor;http://www.ign.com/games/f-16-aggressor/pc-9920;The Lockheed Martin F-16 plays the starring role in this thorough flight simulator. You'll fly over a world that spans more than nine million kilometers, making your way through serious atmospheric conditions, variable weather, and both day and night flights. With a whopping 40 missions covering the African continent, the game ensures that you'll have plenty to see: Morocco, Ethiopia, Kenya, the Serengeti, the Atlas Mountain Range, and more. Real-time voice sampling, 3D graphics, and plenty of other perks combine to make this one awesome package.;http://www.ign.com/games/civilization-beyond-earth/pc-20016115,http://www.ign.com/games/simcity/pc-128952,http://www.ign.com/games/civilization-beyond-earth-rising-tide/pc-20040683,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505;Simulation;PC;7.3;Good;7.9;Good;Bethesda  Softworks;Virgin Interactive;E for Everyone;Animated Violence;Apr 12, 1999;64.99 USD;http://pc.ign.com/articles/159/159920p1.html
Gruntz;http://www.ign.com/games/gruntz/pc-11560;Take control of the Gruntz, a lovable and annoying batch of creatures trying to find their way home. After fleeing through a wormhole to avoid an attack by their evil cousins, the Disgruntled, they are stranged in a strange world and have to fight their way back home. The game is half-puzzle, half-strategy. Your Gruntz move around the map collecting items, activating switches and killing Disgruntledz. The overall goal in the single player, or Questz, game is to recover 36 pieces of the warpstone. There are four pieces scattered in each of 8 different worlds. Each level requires you to retrieve the warpstone piece and take it to the Gruntz king on that level.;http://www.ign.com/games/the-witness/pc-23509,http://www.ign.com/games/valiant-hearts-the-great-war/pc-20005430,http://www.ign.com/games/never-alone/pc-20017754,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505;Puzzle;PC;6.0;Okay;7.7;Good;Monolith Productions;Monolith Productions;E for Everyone;Comic Mischief;Feb 28, 1999;9.99 USD;http://pc.ign.com/articles/161/161560p1.html
Boss Rally;http://www.ign.com/games/boss-rally/pc-4004;Customize your very own racecar and slide into the driver's seat for a chase you'll never forget. Choose from 16 cars and get ready to enjoy arcade-style racing on your PC. Six different tracks will put your driving skills to the test, and four unique perspectives allow you to watch the race however you like. Decide whether you want to face off against 19 computer-driven cars in Championship mode, or try your hand at Multiplayer, Time Attack, or Quick Race modes. Variable weather conditions and awesome, 3D graphics make things very realistic.;http://www.ign.com/games/forza-horizon-3/pc-20054784,http://www.ign.com/games/flatout-4/pc-20068143,http://www.ign.com/games/ubisoft-the-crew/pc-20000080,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505;Racing;PC N64 GBA;7.3;Good;;;SouthPeak Games;Boss Game Studios;E for Everyone;No Descriptors;May 15, 1999;29.99 USD;http://pc.ign.com/articles/154/154004p1.html
Might and Magic VII: For Blood and Honor;http://www.ign.com/games/might-and-magic-vii-for-blood-and-honor/pc-10208;"You will guide the actions of a group of four heroes -- armored swordsmen, daring thieves, gifted archers and wielders of arcane sorcery -- as they explore the land, sea and subterranean passages in search of treasure and glory.Your characters will begin their journey possessing only the most basic skills and equipment, and are barely deserving of the title ""adventurer."" As they continue, however, they will acquire personal abilities, enchanted artifacts, deadly weapons, and powerful knowledge, all of which they will need to face the greater challenges ahead.";http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505,http://www.ign.com/games/the-witcher-3/pc-134497,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505;RPG;PC;7.7;Good;8.1;Great;3DO;New World Computing;T for Teen;Blood, Animated Violence;Jun 8, 1999;14.99 USD;http://pc.ign.com/articles/160/160208p1.html
Championship Pool;http://www.ign.com/games/championship-pool/gb-12000;There's no need to drag a pool table around anymore whenever you want to play billiards. All you have to do is get a copy of CHAMPIONSHIP POOL for the Game Boy. You can shoot some stick in four different modes: Tournament, Party, Freestyle, and Challenge. Tournament pits you against the best players the computer can offer. If you keep missing shots, you can use the Challenge mode to get in some practice. The Freestyle mode lets you create your own games, and if you have a lot of friends the Party mode will let up to eight people play using the same Game Boy. Every kind of billiards game is available including 3-Ball, 9-Ball, 8-Ball, 10-Ball, 14-1 Continuous, Rotation, 15-Ball, Straight Pool, Equal Offense, and Speed Pool. Now you can play billiards anywhere with CHAMPIONSHIP POOL.;http://www.ign.com/games/golf/gb-4116,http://www.ign.com/games/bo-jackson-two-games-in-one/gb-4083,http://www.ign.com/games/madden-nfl-96/gb-10972,http://www.ign.com/games/pokemon-red-version/gb-9846,http://www.ign.com/games/pokemon-blue-version/gb-16708,http://www.ign.com/games/pokemon-yellow-special-pikachu-edition/gb-12045;Sports;GB NES Gen SNES;4.0;Bad;7.3;Good;Software Toolworks;Software Toolworks;E for Everyone;;1993;14.99 USD;http://gameboy.ign.com/articles/162/162000p1.html
Fighter Maker;http://www.ign.com/games/fighter-maker/ps-3775;Have you ever played a fighting game and thought you could come up with something better? Then it's time to put your money where your mouth is with FIGHTER MAKER. You can create the character of your dreams, because every aspect can be edited: you can alter wardrobe, hair color, muscle tone, and skin color. Developing poses and artificial intelligence for your characters will bring them to life. For those who like some plot in their fighting games, you can create detailed profiles and histories for every character you create. Once you have a character that looks right, create the moves, combinations, and throws that will allow your fighter to become the greatest. Be sure to give all of your moves damage values, because you want that awesome kick or throw to cause a serious amount of damage. If you don't like something in FIGHTER MAKER, you can always change it. If you ever thought you could create the ultimate fighting machine, now's your chance with FIGHTER MAKER.;http://www.ign.com/games/street-fighter-alpha/ps-181,http://www.ign.com/games/digimon-world-2/ps-16355,http://www.ign.com/games/tekken-3/ps-2294,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673;Fighting;PS;8.0;Great;5.3;Mediocre;ASCII Entertainment;ASCII Entertainment;T for Teen;Animated Violence;Cancelled;48.99 USD;http://psx.ign.com/articles/153/153775p1.html
Star Ocean: The Second Story;http://www.ign.com/games/star-ocean-the-second-story/ps-4057;The gods are out to destroy the universe. When their meteor collides with the planet Expel, the paths of two heroes will cross and the fate of the universe will lie in their hands. You take the role of either Rena or Claude. While both characters are on the same quest, there are times when they will take separate paths. Naturally, both characters develop different skills throughout the game and along the way their actions determine which other characters in the game can be recruited. You can also spend skill points to learn new abilities that will improve your chances of success. Ultimately, both Rena and Claude will be able to create new items with their skills and some raw material. When you encounter enemies, all of the battles take place in real-time in beautifully rendered environments. It's up to you to try and save the universe from the gods in STAR OCEAN: The Second Story.;http://www.ign.com/games/metal-gear-solid/ps-569,http://www.ign.com/games/resident-evil-3-nemesis/ps-11482,http://www.ign.com/games/resident-evil-2/ps-504,http://www.ign.com/games/final-fantasy-tactics/ps-26,http://www.ign.com/games/alundra/ps-2018,http://www.ign.com/games/blood-omen-legacy-of-kain/ps-2024,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673;Third-Person, Action;PS;8.8;Great;8.8;Great;Sony Computer Entertainment;Tri-Ace, Enix;E for Everyone;Animated Violence, Mild Language;May 31, 1999;24.99 USD;http://psx.ign.com/articles/154/154057p1.html
Jeff Gordon XS Racing;http://www.ign.com/games/jeff-gordon-xs-racing/pc-10649;JEFF GORDON XS RACING puts futuristic racing in the palm of your hand. Choose from five different cars and race on seven tracks. Try to get the fastest lap time on an empty track in the Time Trial mode, and when you want some competition, try to become a racing champion in the Championship mode. Do you have the skills to beat Jeff Gordon? Find out by playing JEFF GORDON XS RACING.;http://www.ign.com/games/forza-horizon-3/pc-20054784,http://www.ign.com/games/flatout-4/pc-20068143,http://www.ign.com/games/ubisoft-the-crew/pc-20000080,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505;Racing;PC N64 GBC PS;7.0;Good;6.4;Okay;ASC Games;Real Sports;E for Everyone;Animated Violence;May 31, 1999;9.99 USD;http://pc.ign.com/articles/160/160649p1.html
F-1 Race;http://www.ign.com/games/f-1-race/gb-4111;Strap on a helmet and negotiate turns at more than 200 mph in F-1 RACE. Choose between two different cars and try to tackle 14 unique tracks. Use the Time Trials to improve your driving skills, and then take on the international competition in the Grand Prix mode. If you want a challenge, invite a friend over, get the link cable, and drop the green flag to start the race. Don't worry about losing your fastest times or your place thanks to a battery backup. Put the pedal to metal in F-1 RACE.;http://www.ign.com/games/dead-heat-scramble/gb-4106,http://www.ign.com/games/motocross-maniacs/gb-9611,http://www.ign.com/games/wave-race/gb-12388,http://www.ign.com/games/pokemon-red-version/gb-9846,http://www.ign.com/games/pokemon-blue-version/gb-16708,http://www.ign.com/games/pokemon-yellow-special-pikachu-edition/gb-12045;Racing;GB;7.0;Good;7.0;Good;Nintendo;Nintendo;E for Everyone;;Feb. 20, 1991;1.99 USD;http://gameboy.ign.com/articles/154/154111p1.html
Boggle Plus;http://www.ign.com/games/boggle-plus/gb-11982;"BOGGLE PLUS brings word-forming fun to the Game Boy. You can play classic Boggle, where you must form words of at least three letters from a board filled with randomly generated letters. Other modes of play include Big Boggle, where there are more letters; Categories, where you must find words that are related to a topic; Anagrams, which calls for you to unscramble words; and Use All, in which the goal is to use every letter on the board. Since there is a dictionary that contains 35,000 words, it is unlikely that you will find a word that has not been included. If that happens, you can override the dictionary for such an emergency. You can also challenge your friends to game via a link cable. Now you can test your brain and your spelling skills with BOGGLE PLUS.";http://www.ign.com/games/tetris-nintendo/gb-5985,http://www.ign.com/games/catrap/gb-9347,http://www.ign.com/games/marios-picross/gb-4127,http://www.ign.com/games/pokemon-red-version/gb-9846,http://www.ign.com/games/pokemon-blue-version/gb-16708,http://www.ign.com/games/pokemon-yellow-special-pikachu-edition/gb-12045;Puzzle;GB;6.0;Okay;7.1;Good;Parker Bros.;Parker Bros.;;;1992;14.91 USD;http://gameboy.ign.com/articles/161/161982p1.html
Bomberman GB (Japan);http://www.ign.com/games/bomberman-gb-japan/gb-9831;Game Boy adaptation of the multiplayer hit. When using a Super Game Boy on the Super Famicom, up to four players can go head-to-head in battle mode. Only released in Japan, an altered version of this title was brought to the US as Wario Blast Featuring Bomberman.Not to be confused with the US version of Bomberman GB -- which is actually called Bomberman GB 2.;http://www.ign.com/games/the-legend-of-zelda-links-awakening/gb-5950,http://www.ign.com/games/metroid-ii-return-of-samus/gb-9335,http://www.ign.com/games/home-alone/gb-10416,http://www.ign.com/games/pokemon-red-version/gb-9846,http://www.ign.com/games/pokemon-blue-version/gb-16708,http://www.ign.com/games/pokemon-yellow-special-pikachu-edition/gb-12045;Action;GB;8.0;Great;7.7;Good;Nintendo;Hudson Soft;;;;;http://gameboy.ign.com/articles/159/159831p1.html
